Feature,Importance Mean,Importance Std
Bwd Packet Length Std,0.031209867237913847,8.718319938871891e-05
Destination Port,0.024603829472125204,0.00016672309226105844
Init_Win_bytes_forward,0.019990016396910983,0.00014182221475883208
Total Length of Fwd Packets,0.014079128319052104,4.645431798165897e-05
PSH Flag Count,0.011955265524172162,9.117255382491963e-05
Bwd Packet Length Min,0.008094916957579539,8.808415521542803e-05
Total Length of Bwd Packets,0.007273682957791128,6.276204635044997e-05
Bwd Packets/s,0.003754958743256054,4.317878188835297e-05
Average Packet Size,0.00360593197926579,3.359275193916945e-05
Packet Length Mean,0.0032026869776789887,4.1125361102512336e-05
Flow IAT Min,0.0031797445255473938,6.980548595689366e-05
Bwd Header Length,0.0028096900454881407,4.302782288749825e-05
Fwd IAT Min,0.0024352057547867884,2.7469508176408266e-05
min_seg_size_forward,0.0024180154448322777,5.563921085973055e-05
Fwd Header Length,0.0023431714799534023,6.603255530812188e-05
Init_Win_bytes_backward,0.00204485348566588,3.054385485928085e-05
Fwd Packet Length Mean,0.0014952924997354937,4.296377050805904e-05
Fwd IAT Std,0.0009270866391621261,1.6191948295737855e-05
Flow IAT Mean,0.0008581931661905758,2.5242335764288938e-05
Fwd Packet Length Max,0.000689992594943356,2.1465396036146936e-05
Fwd Packet Length Std,0.0006826536549243145,3.3391489633412936e-05
Active Mean,0.0004214931767692017,1.3305704404230734e-06
Flow Duration,0.0003762033216967627,2.7164178811181796e-05
Max Packet Length,0.00035815349624452133,2.1001876226653976e-05
Packet Length Std,0.00020740770125882158,1.1897493816949634e-05
FIN Flag Count,0.00019834973024431823,8.30546321137246e-06
act_data_pkt_fwd,0.00011140643182054137,1.7503419369032578e-05
Fwd IAT Max,0.00010221622765254438,1.7508288730647615e-05
Down/Up Ratio,9.963768115936652e-05,7.676644227747555e-06
URG Flag Count,7.768697767898125e-05,8.8569071284112e-06
Total Backward Packets,6.631492647832063e-05,9.685796422188325e-06
Bwd IAT Mean,6.59182270178101e-05,3.3064899370618917e-06
Flow IAT Max,6.14222997989448e-05,1.4076621349119753e-05
Bwd Packet Length Mean,5.474452554738995e-05,1.0364920100630187e-05
Fwd PSH Flags,5.005024859827678e-05,3.01610460381282e-06
Fwd Packets/s,4.6612186607368027e-05,1.4761182838020094e-05
Bwd IAT Std,4.1851793081515434e-05,1.0221588552225445e-05
Bwd Packet Length Max,4.1455093621016e-05,8.78654231155141e-06
Min Packet Length,3.66947000951597e-05,1.454639818992117e-05
Fwd IAT Total,3.153760710880027e-05,1.4010007447173249e-05
ACK Flag Count,2.8694594308635118e-05,5.810740649202898e-06
Fwd Packet Length Min,1.9173807256907724e-05,1.724109384630714e-06
Fwd IAT Mean,1.0181952819154905e-05,1.520738756795621e-05
Idle Mean,9.190204167941473e-06,3.177037389380775e-06
Active Std,8.132338939970118e-06,2.0065046685465465e-06
Active Min,6.281074791022097e-06,4.067647417555448e-06
Idle Min,4.4298106420814776e-06,4.022257794939834e-06
Active Max,2.710779646630801e-06,4.3601864735593905e-06
Packet Length Variance,1.6529144186668473e-06,1.9219350806134636e-06
Idle Std,3.305828837341096e-07,7.392058002273784e-07
Subflow Bwd Bytes,0.0,0.0
Fwd URG Flags,0.0,0.0
Subflow Fwd Bytes,0.0,0.0
Fwd Header Length.1,0.0,0.0
Avg Bwd Segment Size,0.0,0.0
RST Flag Count,0.0,0.0
SYN Flag Count,0.0,0.0
Avg Fwd Segment Size,0.0,0.0
ECE Flag Count,0.0,0.0
CWE Flag Count,0.0,0.0
Subflow Fwd Packets,0.0,0.0
Subflow Bwd Packets,0.0,0.0
Bwd IAT Min,-1.3223315355285575e-07,6.436101514683991e-06
Idle Max,-1.6529144187630667e-06,7.392058002687543e-07
Flow IAT Std,-2.5124299164828536e-06,1.1335860134425907e-05
Total Fwd Packets,-2.8430128002169632e-06,8.487936837777995e-06
Bwd IAT Total,-3.63641172119733e-06,5.541578934697049e-06
Bwd IAT Max,-9.322437321527636e-06,1.0295733112796427e-05
